sensor	timestamp	valid	voltage	current	power	marker
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301134	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301150	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301165	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301181	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301197	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301213	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301229	1	-3.40282e+38	-3.40282e+38	71.956	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301245	1	-3.40282e+38	-3.40282e+38	71.956	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301261	1	-3.40282e+38	-3.40282e+38	71.956	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301277	1	-3.40282e+38	-3.40282e+38	71.956	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301293	1	-3.40282e+38	-3.40282e+38	71.956	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301309	1	-3.40282e+38	-3.40282e+38	71.956	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301324	1	-3.40282e+38	-3.40282e+38	75.982	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301339	1	-3.40282e+38	-3.40282e+38	75.982	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301354	1	-3.40282e+38	-3.40282e+38	75.982	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301370	1	-3.40282e+38	-3.40282e+38	75.982	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301385	1	-3.40282e+38	-3.40282e+38	75.982	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301401	1	-3.40282e+38	-3.40282e+38	75.982	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301417	1	-3.40282e+38	-3.40282e+38	75.982	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301433	1	-3.40282e+38	-3.40282e+38	80.12	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301449	1	-3.40282e+38	-3.40282e+38	80.12	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301465	1	-3.40282e+38	-3.40282e+38	80.12	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301481	1	-3.40282e+38	-3.40282e+38	80.12	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301497	1	-3.40282e+38	-3.40282e+38	80.12	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301513	1	-3.40282e+38	-3.40282e+38	80.12	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301529	1	-3.40282e+38	-3.40282e+38	84.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301545	1	-3.40282e+38	-3.40282e+38	84.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301561	1	-3.40282e+38	-3.40282e+38	84.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301577	1	-3.40282e+38	-3.40282e+38	84.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301593	1	-3.40282e+38	-3.40282e+38	84.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301609	1	-3.40282e+38	-3.40282e+38	84.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301624	1	-3.40282e+38	-3.40282e+38	88.396	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301640	1	-3.40282e+38	-3.40282e+38	88.396	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301655	1	-3.40282e+38	-3.40282e+38	88.396	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301670	1	-3.40282e+38	-3.40282e+38	88.396	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301686	1	-3.40282e+38	-3.40282e+38	88.396	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301701	1	-3.40282e+38	-3.40282e+38	88.396	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301717	1	-3.40282e+38	-3.40282e+38	88.396	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301732	1	-3.40282e+38	-3.40282e+38	88.41	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301747	1	-3.40282e+38	-3.40282e+38	88.41	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301763	1	-3.40282e+38	-3.40282e+38	88.41	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301778	1	-3.40282e+38	-3.40282e+38	88.41	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301794	1	-3.40282e+38	-3.40282e+38	88.41	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301809	1	-3.40282e+38	-3.40282e+38	88.41	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301825	1	-3.40282e+38	-3.40282e+38	88.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301841	1	-3.40282e+38	-3.40282e+38	88.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301856	1	-3.40282e+38	-3.40282e+38	88.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301871	1	-3.40282e+38	-3.40282e+38	88.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301886	1	-3.40282e+38	-3.40282e+38	88.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301902	1	-3.40282e+38	-3.40282e+38	88.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301917	1	-3.40282e+38	-3.40282e+38	88.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301933	1	-3.40282e+38	-3.40282e+38	88.533	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301949	1	-3.40282e+38	-3.40282e+38	88.533	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301965	1	-3.40282e+38	-3.40282e+38	88.533	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301981	1	-3.40282e+38	-3.40282e+38	88.533	waiting
